run, time(ms), voltage(mV), energy(uJ), energy(uWh), charge(uC), charge(uAh)
297, 12.510000, 562.432289, -0.000040, -0.000000, -0.000064, -0.000000
298, 11.820000, 563.581944, -0.000008, -0.000000, -0.000006, -0.000000
299, 11.250000, 562.674582, 0.000004, 0.000000, 0.000016, 0.000000
300, 11.130000, 563.385367, -0.000000, -0.000000, 0.000009, 0.000000
301, 11.450000, 563.175559, -0.000010, -0.000000, -0.000008, -0.000000
302, 10.960000, 563.379884, -0.000012, -0.000000, -0.000013, -0.000000
303, 11.820000, 563.728154, -0.000034, -0.000000, -0.000052, -0.000000
304, 12.530000, 562.805176, -0.000090, -0.000000, -0.000151, -0.000000
305, 11.800000, 563.094437, -0.000121, -0.000000, -0.000211, -0.000000
306, 11.270000, 562.482893, -0.000131, -0.000000, -0.000231, -0.000000
307, 11.170000, 561.990798, -0.000130, -0.000000, -0.000229, -0.000000
308, 11.080000, 561.545908, -0.000123, -0.000000, -0.000217, -0.000000
309, 11.440000, 560.783148, -0.000117, -0.000000, -0.000207, -0.000000
310, 12.620000, 561.287165, -0.000093, -0.000000, -0.000161, -0.000000
311, 11.820000, 561.779022, -0.000032, -0.000000, -0.000049, -0.000000
312, 11.820000, 562.508941, -0.000002, -0.000000, 0.000004, 0.000000
313, 11.500000, 563.207030, -0.000001, -0.000000, 0.000008, 0.000000
314, 11.160000, 563.339174, -0.000004, -0.000000, 0.000002, 0.000000
315, 11.480000, 563.895524, -0.000014, -0.000000, -0.000016, -0.000000
316, 12.520000, 563.821316, -0.000041, -0.000000, -0.000064, -0.000000
317, 11.790000, 563.199997, -0.000065, -0.000000, -0.000107, -0.000000
318, 11.260000, 563.135028, -0.000106, -0.000000, -0.000184, -0.000000
319, 11.160000, 563.031971, -0.000122, -0.000000, -0.000214, -0.000000
320, 11.070000, 563.092470, -0.000129, -0.000000, -0.000226, -0.000000
321, 11.490000, 562.431216, -0.000131, -0.000000, -0.000231, -0.000000
322, 11.870000, 562.162340, -0.000128, -0.000000, -0.000226, -0.000000
323, 11.780000, 561.919570, -0.000112, -0.000000, -0.000197, -0.000000
324, 11.830000, 562.134326, -0.000070, -0.000000, -0.000118, -0.000000
325, 11.790000, 562.853813, -0.000021, -0.000000, -0.000030, -0.000000
326, 11.690000, 562.679231, 0.000003, 0.000000, 0.000012, 0.000000
327, 11.080000, 563.240707, 0.000000, 0.000000, 0.000010, 0.000000
328, 11.750000, 563.492596, -0.000014, -0.000000, -0.000015, -0.000000
329, 11.180000, 563.209951, -0.000023, -0.000000, -0.000032, -0.000000
330, 12.520000, 563.179970, -0.000063, -0.000000, -0.000104, -0.000000
331, 11.790000, 563.128948, -0.000103, -0.000000, -0.000177, -0.000000
332, 11.260000, 563.201189, -0.000128, -0.000000, -0.000225, -0.000000
333, 11.160000, 562.623084, -0.000130, -0.000000, -0.000230, -0.000000
334, 11.070000, 562.779367, -0.000128, -0.000000, -0.000227, -0.000000
335, 11.490000, 562.792599, -0.000125, -0.000000, -0.000221, -0.000000
336, 12.610000, 562.240660, -0.000115, -0.000000, -0.000202, -0.000000
337, 11.810000, 562.408984, -0.000055, -0.000000, -0.000091, -0.000000
338, 11.810000, 563.049436, -0.000014, -0.000000, -0.000017, -0.000000
339, 11.440000, 563.422918, 0.000004, 0.000000, 0.000014, 0.000000
340, 11.460000, 563.322365, -0.000001, -0.000000, 0.000007, 0.000000
341, 11.180000, 563.804984, -0.000005, -0.000000, 0.000001, 0.000000
342, 12.520000, 563.953459, -0.000026, -0.000000, -0.000037, -0.000000
343, 11.790000, 564.250529, -0.000043, -0.000000, -0.000068, -0.000000
344, 11.260000, 564.239979, -0.000084, -0.000000, -0.000143, -0.000000
345, 11.160000, 563.270509, -0.000106, -0.000000, -0.000183, -0.000000
346, 11.070000, 563.835263, -0.000122, -0.000000, -0.000213, -0.000000
347, 11.430000, 563.462257, -0.000131, -0.000000, -0.000231, -0.000000
348, 12.610000, 562.441528, -0.000135, -0.000000, -0.000239, -0.000000
349, 11.810000, 561.856985, -0.000112, -0.000000, -0.000196, -0.000000
350, 11.810000, 561.356723, -0.000070, -0.000000, -0.000118, -0.000000
351, 11.500000, 562.519848, -0.000021, -0.000000, -0.000031, -0.000000
352, 11.160000, 563.468277, -0.000005, -0.000000, -0.000000, -0.000000
353, 11.480000, 563.451171, 0.000004, 0.000000, 0.000015, 0.000000
354, 12.520000, 563.446999, -0.000009, -0.000000, -0.000006, -0.000000
355, 11.790000, 563.904524, -0.000014, -0.000000, -0.000015, -0.000000
356, 11.260000, 563.591838, -0.000024, -0.000000, -0.000033, -0.000000
357, 11.160000, 563.888729, -0.000039, -0.000000, -0.000061, -0.000000
358, 11.070000, 563.295305, -0.000066, -0.000000, -0.000110, -0.000000
359, 11.490000, 562.966883, -0.000098, -0.000000, -0.000168, -0.000000
360, 11.880000, 562.588930, -0.000121, -0.000000, -0.000211, -0.000000
361, 11.780000, 562.049985, -0.000132, -0.000000, -0.000234, -0.000000
362, 11.830000, 562.010050, -0.000126, -0.000000, -0.000221, -0.000000
363, 11.790000, 561.359644, -0.000101, -0.000000, -0.000176, -0.000000
364, 11.690000, 561.542928, -0.000057, -0.000000, -0.000095, -0.000000
365, 11.080000, 562.133014, -0.000013, -0.000000, -0.000015, -0.000000
366, 11.750000, 561.879277, -0.000001, -0.000000, 0.000006, 0.000000
367, 11.190000, 562.924743, 0.000002, 0.000000, 0.000013, 0.000000
368, 12.520000, 562.449455, -0.000019, -0.000000, -0.000024, -0.000000
369, 11.790000, 562.568605, -0.000025, -0.000000, -0.000036, -0.000000
370, 11.260000, 563.606620, -0.000055, -0.000000, -0.000090, -0.000000
371, 11.160000, 562.915504, -0.000081, -0.000000, -0.000137, -0.000000
372, 11.070000, 563.037932, -0.000104, -0.000000, -0.000180, -0.000000
373, 11.490000, 562.288344, -0.000125, -0.000000, -0.000219, -0.000000
374, 12.620000, 561.955869, -0.000135, -0.000000, -0.000238, -0.000000
375, 11.810000, 562.342346, -0.000121, -0.000000, -0.000214, -0.000000
376, 11.810000, 562.169254, -0.000090, -0.000000, -0.000155, -0.000000
377, 11.420000, 562.560737, -0.000045, -0.000000, -0.000073, -0.000000
378, 12.580000, 562.386394, -0.000024, -0.000000, -0.000034, -0.000000
379, 11.810000, 563.170552, 0.000001, 0.000000, 0.000009, 0.000000
380, 11.830000, 563.638926, -0.000008, -0.000000, -0.000005, -0.000000
381, 11.810000, 563.663483, -0.000022, -0.000000, -0.000030, -0.000000
382, 11.810000, 564.040780, -0.000053, -0.000000, -0.000085, -0.000000
383, 11.790000, 563.556850, -0.000104, -0.000000, -0.000179, -0.000000
384, 11.830000, 564.070523, -0.000130, -0.000000, -0.000229, -0.000000
385, 11.810000, 563.714564, -0.000131, -0.000000, -0.000231, -0.000000
386, 11.810000, 562.748730, -0.000116, -0.000000, -0.000204, -0.000000
387, 11.790000, 562.260449, -0.000077, -0.000000, -0.000133, -0.000000
388, 11.830000, 562.307894, -0.000029, -0.000000, -0.000044, -0.000000
389, 11.790000, 562.627792, -0.000001, -0.000000, 0.000006, 0.000000
